Threads: 7
dx: 1.05e-01
N: 20

Iterations	U* iters	P' iters	L2 norm		P error		U error
6.30e+02	5.98e+02	4.94e+03	5.78e-06	5.666e-04	7.824e-06	
6.40e+02	6.47e+02	3.53e+03	7.13e-06	3.516e-04	2.986e-05	
6.50e+02	5.85e+02	4.54e+03	4.47e-06	4.306e-04	6.412e-06	
6.60e+02	6.37e+02	3.22e+03	5.42e-06	2.718e-04	2.272e-05	
6.70e+02	5.73e+02	4.15e+03	3.46e-06	3.287e-04	5.227e-06	
6.80e+02	6.27e+02	2.93e+03	4.13e-06	2.113e-04	1.740e-05	
6.90e+02	5.60e+02	3.77e+03	2.70e-06	2.521e-04	4.310e-06	
7.00e+02	6.16e+02	2.65e+03	3.17e-06	1.656e-04	1.341e-05	
7.10e+02	5.47e+02	3.41e+03	2.13e-06	1.941e-04	3.628e-06	
7.20e+02	6.06e+02	2.39e+03	2.44e-06	1.307e-04	1.034e-05	
7.30e+02	5.34e+02	3.06e+03	1.69e-06	1.503e-04	3.055e-06	
7.40e+02	5.97e+02	2.16e+03	1.88e-06	1.042e-04	8.038e-06	
7.50e+02	5.20e+02	2.74e+03	1.36e-06	1.174e-04	2.600e-06	
7.60e+02	5.87e+02	1.95e+03	1.47e-06	8.424e-05	6.312e-06	
7.70e+02	5.05e+02	2.44e+03	1.11e-06	9.254e-05	2.264e-06	
7.80e+02	5.78e+02	1.78e+03	1.16e-06	6.915e-05	4.997e-06	
7.90e+02	4.89e+02	2.16e+03	9.23e-07	7.367e-05	2.007e-06	

Mass Flow Rate:
0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	0.4472	

u:
4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	4.4721	

p:
-0.0000	-0.0000	-0.0000	-0.0000	0.0000	0.0000	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	

Time: 1.064e+01 s
